,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10
22,Business Intelligence Consultant,"['Python', 'Data Warehouse', 'Data analysis', 'Talend', 'PowerBi', 'Microsoft SQL Server']",['Skills: QlikView · Microsoft Power BI · Talend'],Skills: QlikView · Microsoft Power BI · Talend,,,,,,,,,,Business Intelligence Engineer,"['Microsoft Power BI', 'Talend', 'SQL Server Integration Services (SSIS)', 'HTML', 'Cascading Style Sheets (CSS)', 'Visual Basic']",['unknown'],unknown,,,,,,,,,
23,Business Intelligence Consultant,"['SQL', 'business intelligence', 'Extract, transform, load (ETL)', 'Mathematics', 'data mining', 'Big data']",['unknown'],unknown,,,,,,,,,,Business intelligence developer,"['Business Intelligence', 'Extract, Transform, Load (ETL)', 'Data Visualization', 'Decision-making informatics', 'Data Warehousing', 'Linux System Administration']","['Collection of functional and technical requirements.', 'Understanding and analysis data.', 'Generate calculation and data management rules with DAX.', 'Design and development of business intelligence solutions: Power BI.', 'Analysis of Excels data', 'Web Scrapping: Octoparse.']",Collection of functional and technical requirements.,Understanding and analysis data.,Generate calculation and data management rules with DAX.,Design and development of business intelligence solutions: Power BI.,Analysis of Excels data,Web Scrapping: Octoparse.,,,,
24,Business Intelligence Consultant,"['SAP ERP', 'Microsoft Power BI', 'ETL', 'Windows 10', 'Microsoft Office', 'SQL Server Analysis Services (SSAS)']","['• Development of an ETL process: acquisition, integration and verification of', 'data', '• Data Flow Management: planning and monitoring ETL jobs under SQL Server', '• Receipt and verification of data integrity', '• Creation of Dashboard on Power BI']","• Development of an ETL process: acquisition, integration and verification of",data,• Data Flow Management: planning and monitoring ETL jobs under SQL Server,• Receipt and verification of data integrity,• Creation of Dashboard on Power BI,,,,,,Business Intelligence Developer,"['Management', 'Product design', 'Negotiations', 'New Business Development', 'Trade strategy', 'Sourcing']","['Project:', 'Integrate operational and financial data into Tidemark business performance management software and migration reports from Excel to LongView Analytics for optimization.', 'Tasks:', 'Collection and analysis of functional needs from the business to produce specification document and data mapping.', '的 Automation of data collection, Data flow and storage processes and building pipelines and performing data transformations in Snaplogic', 'Consolidation and reporting, monthly reforecasting and evenly budgeting of sales and analysis related to this field', 'Development of operational analysis and strategic Dashboards and reports', 'Technical environment:', 'SQL server,Tidemark,Snaplogic,Longview', '- Domains of activity:BPM,EPM,Finance,RH,management control..']",Project:,Integrate operational and financial data into Tidemark business performance management software and migration reports from Excel to LongView Analytics for optimization.,Tasks:,Collection and analysis of functional needs from the business to produce specification document and data mapping.,"的 Automation of data collection, Data flow and storage processes and building pipelines and performing data transformations in Snaplogic","Consolidation and reporting, monthly reforecasting and evenly budgeting of sales and analysis related to this field",Development of operational analysis and strategic Dashboards and reports,Technical environment:,"SQL server,Tidemark,Snaplogic,Longview","- Domains of activity:BPM,EPM,Finance,RH,management control.."
25,Business Intelligence-Analyst,"['RStudio', 'Talend Open Studio', 'Alteryx BI + Visualization Solutions', 'Microsoft Power BI', 'Java', 'Python (Programming Language)']",['Skills: Alteryx BI + Visualization Solutions'],Skills: Alteryx BI + Visualization Solutions,,,,,,,,,,Business Intelligence Engineer,"['SAP Analytics Cloud', 'SAP BW', 'SAP BI', 'Symfony Framework', 'Cascading Style Sheets (CSS)', 'oracle apex']",['Skills: SAP Analytics Cloud · SAP BW · SAP BI'],Skills: SAP Analytics Cloud · SAP BW · SAP BI,,,,,,,,,
26,Business Intelligence Internal,"['Git', 'MySQL', 'Microsoft SQL Server', 'Oracle DB', 'PostgreSQL', 'SQL Server Integration Services (SSIS)']","['CRM-BPM GeoProd Dashboard Insurance', 'Steps:', 'SSIS : Extract data from the MySql database, Transform it as', 'needed and Load it into the data warehouse', 'SSAS: Create SSAS Database including the KPIs and measurements', '(turnover & number of affairs)', 'Power Bi : Use a real-time connection to the SSAS database to', 'present the evolution and the distribution of the turnover and', 'number of affairs during a selected period of time and filtered by', 'other factors', 'Publish the application to web and embed it', 'Technologies : SQL Server 2014, SSIS, SSMS, SSAS, Navicat,', 'PowerBi Desktop, Power Bi Service']",CRM-BPM GeoProd Dashboard Insurance,Steps:,"SSIS : Extract data from the MySql database, Transform it as",needed and Load it into the data warehouse,SSAS: Create SSAS Database including the KPIs and measurements,(turnover & number of affairs),Power Bi : Use a real-time connection to the SSAS database to,present the evolution and the distribution of the turnover and,number of affairs during a selected period of time and filtered by,other factors,Business Intelligence Engineer,"['Data Analytics', 'Gaming', 'python', 'Microsoft Power BI', 'Microsoft Excel', 'Google Analytics']",['unknown'],unknown,,,,,,,,,
27,Business Intelligence Internal,"['Business Intelligence (BI)', 'ONAP Cubes', 'R (Programming Language)', 'PostgreSQL', 'Decision-making informatics', 'Business intelligence']","['Conception and Implementation of a commercial decision-making solution:', '• Collect data from the ERP Sage.', '• Create database with SSMS. ', '• Modeling the Datawarehouse.', '• Extract, Transform and Load data with Talend.', '• Create a multidimensional cube with SSAS.', '• Data Mining algorithms with Python.', '• Developer Dashboards using Web technologies: ASP.NET, Angular']",Conception and Implementation of a commercial decision-making solution:,• Collect data from the ERP Sage.,• Create database with SSMS. ,• Modeling the Datawarehouse.,"• Extract, Transform and Load data with Talend.",• Create a multidimensional cube with SSAS.,• Data Mining algorithms with Python.,"• Developer Dashboards using Web technologies: ASP.NET, Angular",,,Business Intelligence Consultant,"['Decision-making informatics', 'SQL Server Integration Services (SSIS)', 'PowerBI', 'Transact-SQL (T-SQL)', 'Extract, Transform, Load (ETL)', 'Data Management']","['- Provide business intelligence, data analytics, metrics, and reporting.', '- Various data management tools and applications to create innovative reports, analytics, and visualizations.', '- Translate policy and strategic initiatives into quantitative data analysis and investigative data research.', '- Support process design, development, improvement, and implementation/user adoption.', '- Support project management activities.']","- Provide business intelligence, data analytics, metrics, and reporting.","- Various data management tools and applications to create innovative reports, analytics, and visualizations.",- Translate policy and strategic initiatives into quantitative data analysis and investigative data research.,"- Support process design, development, improvement, and implementation/user adoption.",- Support project management activities.,,,,,
28,Business Intelligence Internal,"['Predictive Analytics', 'Predictive Modeling', 'SAP Products', 'SAP Analytics Cloud', 'SAP HANA', 'Angular']","['Skills: Extract, Transform, Load (ETL) · SQL · Business Intelligence (BI) · Data Analysis']","Skills: Extract, Transform, Load (ETL) · SQL · Business Intelligence (BI) · Data Analysis",,,,,,,,,,Business Intelligence Engineer,"['Extract, Transform, Load (ETL)', 'SQL', 'MDX', 'MySQL', 'Analysis services', 'Microsoft Power BI']",['unknown'],unknown,,,,,,,,,
29,Business Intelligence Engineer ,"['Microsoft Power BI', 'MongoDB', 'JIRA', 'Facebook API', 'Customer Relationship Management (CRM)', 'Extract, Transform, Load (ETL)']","['Skills: Customer Relationship Management (CRM) · Extract, Transform, Load (ETL) · Python (programming language) · Databases · Statistical data analysis']","Skills: Customer Relationship Management (CRM) · Extract, Transform, Load (ETL) · Python (programming language) · Databases · Statistical data analysis",,,,,,,,,,Business Intelligence Trainee,"['ETL tools', 'Python (programming language)', 'Microsoft Power BI', 'R', 'Accounting', 'Big data']","['Project Internship End of Study: ', '-Realization of the functional study.', '-Participation in all phases of ETL. ', '-Dashboard development.', '-Prediction using Machine learning algorithms.', '-Integrate the solution into a web interface using the Django Framework.']",Project Internship End of Study: ,-Realization of the functional study.,-Participation in all phases of ETL. ,-Dashboard development.,-Prediction using Machine learning algorithms.,-Integrate the solution into a web interface using the Django Framework.,,,,
30,Business Intelligence Internal,"['Telecommunications', 'Microsoft Word', 'Strategic planning', 'Business intelligence', 'Big data', 'Data analysis']",['unknown'],unknown,,,,,,,,,,Business Intelligence Consultant,"['ETL Tools', 'SQL', 'Business Intelligence (BI)', 'SQL Server Integration Services (SSIS)', 'Python (Programming Language)', 'Talend Open Studio']",['Skills: ETL Tools · SQL · Business Intelligence (BI) · Python (Programming Language) · Talend Open Studio · Microsoft Excel · Microsoft Power BI'],Skills: ETL Tools · SQL · Business Intelligence (BI) · Python (Programming Language) · Talend Open Studio · Microsoft Excel · Microsoft Power BI,,,,,,,,,
31,Business Intelligence Internal,"['Telecommunications', 'Microsoft Word', 'Strategic planning', 'Business intelligence', 'Big data', 'Data analysis']",['unknown'],unknown,,,,,,,,,,Business Intelligence Engineer,"['Java', 'Web applications', 'Business', 'Postman API', 'Spring Boot', 'C#']",['unknown'],unknown,,,,,,,,,
32,Business Intelligence Internal,"['SQL Server Integration Services (SSIS)', 'SQL Server Reporting Services (SSRS)', 'SQL Server Analysis Services (SSAS)', 'Extract, Transform, Load (ETL)', 'SWIFT Messages', 'Python (programming language)']",['Skills: SWIFT Messages'],Skills: SWIFT Messages,,,,,,,,,,Business Intelligence Analyst,"['Leadership', 'Social networks', 'php', 'JavaFX', 'J2EE Web Services', 'Marketing']",['unknown'],unknown,,,,,,,,,
33,Business Intelligence Internal,"['Telecommunications', 'Microsoft Word', 'Strategic planning', 'Business intelligence', 'Big data', 'Data analysis']",['unknown'],unknown,,,,,,,,,,Business intelligence analytics,"['SQL', 'Decision-making informatics', 'SQL Server Reporting Services (SSRS)', 'Microsoft Excel', 'Information technology', 'Extract, Transform, Load (ETL)']","['- Collection and extraction of data sources.', '- Processing, operation and integration of data into a data warehouse.', '- Creation of dashboards, implementation of KPIs and reporting of performance to give a coherent vision of results to managers.']",- Collection and extraction of data sources.,"- Processing, operation and integration of data into a data warehouse.","- Creation of dashboards, implementation of KPIs and reporting of performance to give a coherent vision of results to managers.",,,,,,,
34,Business Intelligence Internal,"['DevOps', 'Angular', 'Spring Boot', 'Microsoft Power BI', 'Business Intelligence (BI)', 'Big Data']",['Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS)'],Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),,,,,,,,,,Business Intelligence Engineer,"['Data Analytics', 'Gaming', 'python', 'Microsoft Power BI', 'Microsoft Excel', 'Google Analytics']",['unknown'],unknown,,,,,,,,,
35,Business Intelligence Internal,"['Data Analysis', 'Data Visualization', 'Data Modeling', 'Data Analytics', 'Data Collection', 'Microsoft Power BI']",['unknown'],unknown,,,,,,,,,,Business Intelligence Consultant,"['Node.js', 'Spring Boot', '.NET Framework', 'Project management', 'Microsoft Power BI', 'Software development']","['Help clients to exploit their data and analyse their business for better decision-making through:', ' * Participation in the feeding phase.', ' * Participation in the modelling and storage phase.', ' *Participation in the visualization phase']",Help clients to exploit their data and analyse their business for better decision-making through:, * Participation in the feeding phase., * Participation in the modelling and storage phase., *Participation in the visualization phase,,,,,,
36,Business Intelligence Internal,"['Machine Learning', 'Artificial Intelligence (AI)', 'Java', 'Python (Programming Language)', 'Database Management System (DBMS)', 'C (Programming Language)']",['Skills: Microsoft Excel'],Skills: Microsoft Excel,,,,,,,,,,Business Intelligence Consultant,"['Engineering', 'Project Management', 'English', 'Research', 'Strategy', 'Analytical Skills']",['unknown'],unknown,,,,,,,,,
37,Business Intelligence Internal,"['Microsoft Power BI', 'Talend', '.NET Core', 'Symfony Framework', 'Spring Boot', 'R']",['unknown'],unknown,,,,,,,,,,Business Intelligence Consultant,"['Business Intelligence', 'UML', 'Web Development', 'Data Mining', 'Java', 'R']",['unknown'],unknown,,,,,,,,,
38,Business Intelligence Engineer,"['SAP Analytics Cloud', 'SAP BW', 'SAP BI', 'Symfony Framework', 'Cascading Style Sheets (CSS)', 'oracle apex']",['Skills: SAP Analytics Cloud · SAP BW · SAP BI'],Skills: SAP Analytics Cloud · SAP BW · SAP BI,,,,,,,,,,Business Intelligence Internal,"['Customer Relationship Management (CRM)', 'Digital Transformation', 'Business Intelligence (BI)', 'Microsoft Dynamics AX', 'Business Analysis', 'HTML']",['Skills: Business Intelligence (BI) · Microsoft Dynamics AX · SQL'],Skills: Business Intelligence (BI) · Microsoft Dynamics AX · SQL,,,,,,,,,
39,Business Intelligence Developer,"['Microsoft Power BI', 'Python (programming language)', 'R (programming language)', 'Spring Boot', '.NET framework', 'Project management']","['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,,,,,,Business Intelligence Internal,"['MongoDB', 'DAX', 'Data Analysis', 'ETL Tools', 'Data Mining', 'Microsoft SQL Server']",['Collateral management and analysis'],Collateral management and analysis,,,,,,,,,
40,Business Intelligence Internal,"['Microsoft Power BI', 'SQL Server Management Studio', 'Microsoft SQL Server', 'Extract, Transform, Load (ETL)', 'SQL', 'Python (programming language)']",['Skills: Microsoft Power BI · SQL Server Management Studio · Microsoft SQL Server · SQL'],Skills: Microsoft Power BI · SQL Server Management Studio · Microsoft SQL Server · SQL,,,,,,,,,,Business Intelligence Developer,"['Extract, Transform, Load (ETL)', 'SQL', 'Microsoft Power Query', 'powerbi', 'Oracle SQL Developer', 'Microsoft SQL Server']",['unknown'],unknown,,,,,,,,,
41,Business Intelligence Internal,"['Microsoft Power BI', 'Talend', 'R', 'Python', 'Microsoft Excel', 'Decision-making informatics']",['Skills: Microsoft Power BI · Talend · R · Microsoft Excel'],Skills: Microsoft Power BI · Talend · R · Microsoft Excel,,,,,,,,,,Business Intelligence Consultant,"['SQL Server Management Studio', 'Business Intelligence (BI)', 'SQL', 'Microsoft Power BI', 'SQL Server Integration Services (SSIS)', 'Python (Programming Language)']","['National Observatory Project:', 'Drafting of technical and functional specifications', 'Development of different data integration packages', 'Cadming', 'Pilotage']",National Observatory Project:,Drafting of technical and functional specifications,Development of different data integration packages,Cadming,Pilotage,,,,,
42,Business Intelligence Developer,"['SQL Server Integration Services (SSIS)', 'SQL Server Management Studio', 'SQL', 'Spring Boot', 'Angular', 'Data analysis']",['unknown'],unknown,,,,,,,,,,Business Intelligence Internal,"['Microsoft Power BI', 'HTML5', 'Cascading Style Sheets (CSS)', 'Boy Scouts', 'Camping', 'unknown']","[""I'm currently working on implementing a reporting platform for a municipality's Commercial performance. This platform will provide valuable insights and support data-driven decision making for the municipality. I'm using advanced technologies like Data Warehouse and PowerBI to create a user-friendly interface for monitoring and analysis key metrics. As a Business Intelligence Internal, I'm able to apply my technical skills and knowledge to make a positive impact on the success of the municipality. This internship is a valuable opportunity for me to gain hands-on experience in Business Intelligence, data analysis, and technology implementation and enhancement my resume.""]","I'm currently working on implementing a reporting platform for a municipality's Commercial performance. This platform will provide valuable insights and support data-driven decision making for the municipality. I'm using advanced technologies like Data Warehouse and PowerBI to create a user-friendly interface for monitoring and analysis key metrics. As a Business Intelligence Internal, I'm able to apply my technical skills and knowledge to make a positive impact on the success of the municipality. This internship is a valuable opportunity for me to gain hands-on experience in Business Intelligence, data analysis, and technology implementation and enhancement my resume.",,,,,,,,,
